Nationality,Death
Albania,30000
Australia,40500
Austria,120000
Belgium,88000
Brazil,2000
Bulgaria,25000
Myanmar,272000
Canada,45500
China,15000000
Cuba,100
Czech Republic,325000
Denmark,3200
Indonesia,3500000
Estonia,50000
Ethiopia,100000
Finland,97000
France,350000
Germany,2319000
Greece,327550
Hungary,504500
Iceland,200
India,2087000
"Iran, Islamic Republic of",200
Iraq,500
Ireland,200
Italy,152920
Japan,2566255
"Korea, Democratic People's Republic of",430500
Latvia,230000
Lithuania,350000
Luxembourg,2000
Malaysia,100000
Malta,1500
Mexico,100
Mongolia,300
Kiribati,500
Netherlands,301000
New Zealand,11900
Norway,9500
Papua New Guinea,15000
Philippines,807000
Poland,5720000
Portugal,55000
Romania,500000
Rwanda,150000
Singapore,50000
Slovakia,65500
South Africa,11900
Sweden,600
Switzerland,100
Thailand,7600
Turkey,200
United Kingdom,3472
Lao People's Democratic Republic,1250000
Cambodia,1250000
Viet Nam,1250000
Russian Federation,900000
Belarus,900000
Ukraine,900000
Georgia,900000
Uzbekistan,900000
Armenia,900000
Azerbaijan,900000
Kazakhstan,900000
Kyrgyzstan,900000
"Moldova, Republic of",900000
Tajikistan,900000
Turkmenistan,900000
Croatia,60500
Bosnia and Herzegovina,60500
Serbia,60500
Montenegro,60500
"Macedonia, the former Yugoslav Republic of",60500
Kosovo,60500
"Korea, Republic of",430500
Burundi,150000
